id,first_name,last_name,email,state,ip_address,customer_id,survey_date,proto_purchasedate,amountspent,annual_income,gender,satisfaction,satisfaction_oe,selfrun,runtrack,selfcycle,cycletrack,community,portal,setup,oneupdate,agerange
1,James,Watson,jwatson0@twitter.com,Virginia,106.105.195.227,,12/5/14,6/27/14,$161.64 ,"$75,000-$99,999",M,10,Really helped me improve my time,4,3,4,3,4,5,9,Performance,45 years old or older
2,Alice,Scott,ascott1@cbsnews.com,Pennsylvania,75.198.62.139,10423,12/4/14,9/4/14,$135.57 ,"$25,000-$49,999",F,8,Fantastic shoe! Helped me improve my running time and track my runs.,5,4,4,3,1,5,8,Price,Under 24 years old
3,Christine,Armstrong,carmstrong2@howstuffworks.com,Alaska,162.166.219.97,10283,11/29/14,3/13/14,$184.46 ,"$100,000-$124,999",F,6,Liked tracking my heart rate. Setup was difficult.,4,4,2,1,5,5,7,Performance,Under 24 years old
4,Louise,Mills,lmills3@instagram.com,Nevada,161.32.51.227,10334,11/24/14,2/21/14,$169.88 ,"$100,000-$124,999",F,9,Shoe was comfortable and I think this helped improve my time,4,3,2,1,3,5,9,Performance,Under 24 years old
5,Sara,Young,syoung4@aol.com,Connecticut,66.75.223.130,10081,12/6/14,7/21/14,$142.55 ,"$50,000-$74,999",F,9,Such a great shoe for runners,4,4,0,0,5,3,9,Performance,24-44 years old
6,Catherine,Jacobs,cjacobs5@scribd.com,Virginia,78.8.254.49,10233,11/21/14,1/23/14,$161.70 ,"$75,000-$99,999",F,10,Liked the community and the portal,3,3,4,3,4,5,9,Style,45 years old or older
7,Justin,Hill,jhill6@theatlantic.com,Alabama,93.75.3.143,10231,12/6/14,1/20/14,$183.71 ,"$50,000-$74,999",M,8,Easy to use and loved the portal.,4,4,0,0,3,3,7,Performance,45 years old or older
8,Eugene,Riley,eriley7@pcworld.com,Ohio,213.79.37.204,,11/22/14,6/6/14,$130.80 ,"0-$24,999",M,1,Felt like it wasn't worth money,1,0,4,2,1,3,2,Price,Under 24 years old
9,Cynthia,Robinson,crobinson8@whitehouse.gov,Nevada,114.166.15.43,10281,11/30/14,2/21/14,$133.65 ,"$50,000-$74,999",F,5,Hard to track running route - not accurate,4,3,0,0,2,3,6,Price,Under 24 years old
10,Stephanie,Davis,sdavis9@weibo.com,Arizona,115.186.121.183,10192,11/21/14,2/27/14,$148.88 ,"$25,000-$49,999",F,0,Not interested in features,5,4,1,3,2,5,0,Style,24-44 years old
11,Heather,Adams,hadamsa@constantcontact.com,Texas,68.192.203.252,,12/10/14,2/27/14,$142.67 ,"$25,000-$49,999",F,0,Ouch! Shoe hurt.,1,0,0,2,1,1,0,Comfort,24-44 years old
12,Jack,Moore,jmooreb@oakley.com,District of Columbia,220.213.3.205,10308,12/4/14,4/26/14,$137.18 ,"$25,000-$49,999",M,9,Comfortable shoe - loved tracking my running route. Easy to use.,4,3,3,2,3,5,9,Price,Under 24 years old
13,Sandra,Peterson,spetersonc@ycombinator.com,Nevada,219.101.36.45,,12/10/14,3/14/14,$148.09 ,"$25,000-$49,999",F,6,"Wish the shoe was lighter. However, I really liked tracking my stride and route.",3,2,0,0,2,2,7,Comfort,45 years old or older
14,Mildred,Bradley,mbradleyd@nifty.com,Indiana,228.44.160.212,10388,11/28/14,2/24/14,$149.56 ,"$25,000-$49,999",F,8,Great tool for runners,4,3,4,3,2,5,10,Price,24-44 years old
15,Brenda,Watkins,bwatkinse@list-manage.com,Texas,140.107.133.151,10437,12/5/14,3/14/14,$135.32 ,"$25,000-$49,999",F,9,Easy to use and loved the portal.,5,5,3,2,2,5,9,Performance,Under 24 years old
16,Jennifer,Evans,jevansf@techcrunch.com,Colorado,18.41.228.228,10070,12/1/14,8/31/14,$146.46 ,"$25,000-$49,999",F,8,Shoe was comfortable and I think this helped improve my time,5,5,0,0,1,4,9,Comfort,45 years old or older
17,Eric,Smith,esmithg@cnn.com,Colorado,67.221.201.22,,11/28/14,6/25/14,$182.53 ,"$50,000-$74,999",M,8,Wish the setup was easier but loved tracking my running time. ,3,2,0,0,0,2,9,Style,24-44 years old
18,Julia,Harris,jharrish@nytimes.com,Georgia,184.142.208.247,10269,11/29/14,8/3/14,$168.17 ,"$100,000-$124,999",F,10,Great tool for runners,4,3,0,0,3,3,9,Style,Under 24 years old
19,Martha,Franklin,mfranklini@jiathis.com,Indiana,100.182.225.184,10002,12/2/14,2/15/14,$142.63 ,"$25,000-$49,999",F,5,Not great - just okay,0,0,0,0,3,0,4,Price,Under 24 years old
20,Melissa,Lee,mleej@4shared.com,North Carolina,121.216.39.250,,11/25/14,4/5/14,$150.07 ,"$25,000-$49,999",F,9,Such a great shoe for runners,1,0,1,0,3,1,9,Price,Under 24 years old
21,Phillip,Lewis,plewisk@cargocollective.com,Maryland,221.185.83.43,10443,11/21/14,1/14/14,$178.63 ,"$100,000-$124,999",M,8,Wish the setup was easier but loved tracking my running time. ,1,1,4,3,4,4,7,Comfort,45 years old or older
22,Stephen,Cook,scookl@nih.gov,New York,105.117.226.113,,11/28/14,3/7/14,$143.70 ,"$25,000-$49,999",M,9,Such a great shoe for runners,3,2,2,1,3,4,9,Style,Under 24 years old
23,Paula,Owens,powensm@businessinsider.com,California,15.148.85.208,10201,11/26/14,10/10/14,$138.20 ,"$25,000-$49,999",F,7,Liked tracking against other people,4,4,0,0,4,3,8,Price,24-44 years old
24,Emily,Carpenter,ecarpentern@paypal.com,Minnesota,180.160.138.239,10419,11/26/14,1/13/14,$136.33 ,"$25,000-$49,999",F,8,Great shoe for cyclists and runners,2,2,2,1,4,3,8,Style,45 years old or older
25,Ann,Wells,awellso@theatlantic.com,Texas,22.85.231.16,,12/6/14,4/15/14,$179.36 ,"$100,000-$124,999",F,5,Need to have more colors and styles,2,2,3,2,1,4,2,Style,24-44 years old
26,Dennis,Shaw,dshawp@redcross.org,Illinois,189.61.108.41,10120,12/5/14,2/16/14,$149.20 ,"$25,000-$49,999",M,8,Shoe was comfortable and I think this helped improve my time,4,3,3,2,2,5,6,Performance,Under 24 years old
27,Marie,Edwards,medwardsq@sun.com,Florida,225.115.131.70,,12/2/14,1/1/14,$183.32 ,"$50,000-$74,999",F,9,Shoe was comfortable and I think this helped improve my time,3,2,0,0,3,2,9,Comfort,45 years old or older
28,Mark,Lawson,mlawsonr@oracle.com,California,228.160.212.117,10141,11/25/14,2/3/14,$183.25 ,"$50,000-$74,999",M,9,Such a big improvement over my other shoe,3,2,2,1,1,4,9,Comfort,Under 24 years old
29,Phyllis,Wood,pwoods@desdev.cn,Louisiana,206.210.181.19,10082,11/30/14,10/20/14,$181.18 ,"$125,000 or more",F,8,Cute shoe!,2,1,5,4,2,5,9,Style,24-44 years old
30,Theresa,Bishop,tbishopt@feedburner.com,Texas,10.23.86.30,10172,12/5/14,3/4/14,$154.06 ,"$25,000-$49,999",F,2,Shoe wasn't comfortable,1,0,0,4,1,2,2,Comfort,24-44 years old
31,Sandra,Duncan,sduncanu@surveymonkey.com,Louisiana,214.181.226.164,10208,12/3/14,1/4/14,$180.93 ,"$125,000 or more",F,9,Love the shoe!,3,2,1,0,4,3,9,Style,45 years old or older
32,Linda,Holmes,lholmesv@g.co,Florida,159.192.96.123,10152,11/30/14,9/27/14,$155.69 ,"$50,000-$74,999",F,9,Cute shoe!,3,3,2,1,5,4,9,Comfort,45 years old or older
33,Cheryl,Holmes,cholmesw@typepad.com,Ohio,13.144.153.53,10193,11/21/14,3/14/14,$159.78 ,"$25,000-$49,999",F,8,Cute shoe!,3,2,0,0,4,2,9,Style,Under 24 years old
34,David,Fernandez,dfernandezx@unicef.org,Oregon,193.250.250.47,,11/30/14,8/11/14,$175.61 ,"$100,000-$124,999",M,2,Shoe wasn't comfortable,3,3,1,1,1,3,2,Comfort,45 years old or older
35,Helen,Harrison,hharrisony@uiuc.edu,Tennessee,132.232.178.197,,12/8/14,11/4/14,$157.02 ,"$50,000-$74,999",F,4,Not worth the time,2,1,4,3,0,5,5,Style,24-44 years old
36,Roger,Reynolds,rreynoldsz@4shared.com,Minnesota,120.161.23.79,,12/7/14,2/8/14,$148.30 ,"$25,000-$49,999",M,0,Didn't accurately track my route,2,1,0,0,1,1,0,Price,Under 24 years old
37,Catherine,Gray,cgray10@prlog.org,Connecticut,119.179.194.148,10057,12/8/14,11/15/14,$173.76 ,"$100,000-$124,999",F,9,Shoe was comfortable and I think this helped improve my time,4,3,3,2,4,5,9,Performance,Under 24 years old
38,Andrew,Rodriguez,arodriguez11@alexa.com,Tennessee,24.118.231.84,,12/9/14,2/28/14,$142.45 ,"$50,000-$74,999",M,9,Wish the setup was easier but loved tracking my running time. ,4,3,0,0,5,3,9,Price,Under 24 years old
39,Alice,Torres,atorres12@123-reg.co.uk,Michigan,79.79.243.85,10060,11/26/14,11/16/14,$147.76 ,"$25,000-$49,999",F,6,Didn't like the style but liked tracking my route.,2,1,0,0,2,1,7,Style,Under 24 years old
40,Donna,Parker,dparker13@phpbb.com,California,62.86.53.159,10156,12/3/14,6/6/14,$184.65 ,"$100,000-$124,999",F,8,Such a big improvement over my other shoe,3,3,2,1,0,4,9,Style,Under 24 years old
41,Rachel,Mcdonald,rmcdonald14@xinhuanet.com,Arizona,200.54.225.207,,11/25/14,5/18/14,$162.04 ,"$75,000-$99,999",F,0,Not an improvement over my current shoe,2,1,1,3,3,3,0,Performance,24-44 years old
42,Brian,Daniels,bdaniels15@github.com,Missouri,252.79.33.46,,12/2/14,5/24/14,$159.23 ,"$25,000-$49,999",M,9,Shoe was comfortable and I think this helped improve my time,4,3,1,0,3,4,8,Performance,24-44 years old
43,Craig,Knight,cknight16@bloglovin.com,Georgia,228.172.1.226,10213,11/24/14,8/1/14,$168.14 ,"$50,000-$74,999",M,8,Comfortable shoe - loved tracking my running route. Easy to use.,5,5,0,0,2,4,9,Performance,24-44 years old
44,Deborah,Lawrence,dlawrence17@devhub.com,Georgia,30.164.7.222,,12/1/14,9/6/14,$159.13 ,"$25,000-$49,999",F,10,Really helped me improve my runs.,5,4,4,3,4,5,9,Performance,Under 24 years old
45,Matthew,Stevens,mstevens18@weebly.com,Minnesota,245.195.19.50,10122,12/8/14,9/26/14,$138.07 ,"$25,000-$49,999",M,8,Loved tracking my stride and heart rate.,2,2,0,0,3,1,7,Price,24-44 years old
